     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata
   1833779,     10013,         0,    34.7,internal_correlated,23f62a0344b8f0a9dceec396a37d17c716eac3c1681ea3069633857ac9e307c5,"{""b"":""X"",""c"":""chao"",""d"":5,""p"":0.0008,""q"":73,""r"":15}"
  37350193,     10018,         0,   326.7,internal_correlated,f108b31457689930d5497f45729afea89f5ad05412b16669ab832723060d6c8c,"{""b"":""X"",""c"":""chao"",""d"":5,""p"":0.0003,""q"":73,""r"":15}"
 100000000,       931,         0,   616.1,internal_correlated,4f43132b6073bff1abad8ff626d4849642034840ea3b450859fdd0276f63d2ee,"{""b"":""X"",""c"":""chao"",""d"":5,""p"":0.0001,""q"":73,""r"":15}"
 100000000,      7810,         0,   745.4,internal_correlated,c47484ac006c9c795d27fac1b6953030770e1fd78aff13640bc5d5567a5d1585,"{""b"":""X"",""c"":""chao"",""d"":5,""p"":0.0002,""q"":73,""r"":15}"
     20417,     10009,         0,    7.79,internal_correlated,62dda47385836347b4de22cc843be9dfbc82513bd868ecc5679168b5a4672c12,"{""b"":""X"",""c"":""chao"",""d"":5,""p"":0.007,""q"":73,""r"":15}"
     29420,     10077,         0,    6.65,internal_correlated,0551ff09927c67756b12a0bd116c5d12573cf61e33914624f5101e37250b322f,"{""b"":""X"",""c"":""chao"",""d"":5,""p"":0.004,""q"":73,""r"":15}"
     46627,     10002,         0,    6.06,internal_correlated,9bbeac0d30e45ea9a42f9299ad14cba70af90fdf60ef0e6084be6fc1b1b6083f,"{""b"":""X"",""c"":""chao"",""d"":5,""p"":0.003,""q"":73,""r"":15}"
    959043,     10179,         0,    23.4,internal_correlated,e3565cd90520372385d8592296f879c4529259f97e7a5ec5e6f4ffd185868798,"{""b"":""X"",""c"":""chao"",""d"":5,""p"":0.001,""q"":73,""r"":15}"
     23053,     10054,         0,    7.75,internal_correlated,55c89455c5e6a0ea550ffa6593166947cfdcc71dedd545b579ba61d890283970,"{""b"":""X"",""c"":""chao"",""d"":5,""p"":0.005,""q"":73,""r"":15}"
    124721,     10020,         0,    10.1,internal_correlated,4fd79c308a58056bf8bd298d836b02a98cc1943e84431d65523e12b65e4bafc0,"{""b"":""X"",""c"":""chao"",""d"":5,""p"":0.002,""q"":73,""r"":15}"
     19916,     10037,         0,    7.94,internal_correlated,5d9cb9e1b8ee5b2da6533a9af45bd306e3cec473bf55d8c846da2e99506447ac,"{""b"":""X"",""c"":""chao"",""d"":5,""p"":0.01,""q"":73,""r"":15}"
